protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	
NP_055726.3	43.05550051235557	-18.65745051271316	-1.1355551873072236	-1.12036430767997	2.822371938874104	-0.5118860785191511	-1.8987595941788198	-1.3864075284787465	-0.47409199074694547	-0.8225240836722283	-1.1989474469844923	-0.2527123562876796	-0.4642570343107986	0.18513647898175914	-1.0385969387604173	-0.4153705476609045	-0.40492868463999615	0.5684258083704636	-0.1999350443801723	0.21361991095898508	
NP_005148.2	43.86978824448883	-7.589024524644287	-2.0629440594501083	-3.2388152657875318	0.0495666762759022	-1.3622406838908365	-0.8106033150491055	1.0134104080324937	-0.5570029457017702	0.7371405239279893	-0.5080517465700651	-1.2679838946905515	-0.25935881578039455	0.3639189098657618	-0.34784825350663506	-0.7445985318064414	-0.6092667340338612	-0.3323055202006856	-0.47698174994796405	-0.6292136988124268	
NP_005149.3	43.01394712813484	-7.605326301405222	6.886081724390245	1.9190814263853522	-2.8133339247791405	-4.882770848401269	0.11982786534123999	-0.44605538843154263	1.382246370779097	-0.35003033129835526	0.5757527365931749	1.3644608181357885	3.0778764721657557	-2.9137989323038216	1.0553711719908163	0.14784307164324237	1.957783308643126	-0.4948655439811065	-0.6686830824176903	0.667240498228487	
NP_001096.1	-16.968359835476544	-2.077174634495857	1.4478664136997448	-2.1176184258295923	-0.04226303169720328	-3.050401519188937	-0.028845331495656212	1.182532279378019	-0.3968736833308255	2.6286118001608503	-1.5143199491059571	-0.1915662501491508	0.46174227803911994	0.18565832979719726	0.6979605153840309	-0.21266074907714175	0.6708014670145783	-0.6778486609741803	-0.22628914314883128	-0.04419821694050925	
NP_004293.1	-26.06467591428384	5.5228399749160975	-5.282260322086312	-3.9520980423993133	0.22453247995345832	-1.3034591058370388	-1.0886497217443358	-3.3637593517255837	-0.1876984517707484	1.6559662703206715	0.293124276258135	0.13500790905841137	-1.3362062686096654	-0.07647131964046994	-0.17983908984735275	0.6928881743891756	1.3723490985924618	-0.6300207480134955	-0.2839990924157618	0.7791612181063421	
NP_001607.1	-27.574567200074995	3.789416934305422	1.0283460775968423	0.5018704632318717	0.30058493595551894	-0.14621625032234972	-2.307593211446174	0.978094537353396	0.47484285744038823	1.913208059861215	-0.529447695374135	1.8039999639177677	2.6490740371271713	-1.3547099196967332	-2.2976292918836925	-0.16552077845037425	0.34410767638350537	-0.780826665908346	0.597494407444873	0.09815955567488796	
NP_001097.2	-17.44411454588057	-0.5618932299182375	3.6336069080479816	-1.0406064549080163	3.58757127857585	-3.276766399298675	-0.45215672498424586	-0.8063138712172868	-0.729876497973373	0.8401929467728521	-0.7977095367365531	0.015294204713115994	1.0070877083290124	0.5203708517324364	0.48636478660420146	0.1319824378797351	-0.9001890589650755	-0.27905588674267323	-0.290208203218088	-0.09117960384074617	
NP_000011.1	-13.564842099329617	-7.555365967855674	1.6841663697681246	-0.6683865568368613	0.6268374361821654	-3.336832922992007	0.7014369930051313	1.9525036614392937	-0.17009012651190208	3.918364890675511	-1.0941172975228886	-0.8816618215061526	0.3356523149339526	0.43024560390159783	0.6799657424347535	-0.5453209542796311	-0.32063131695394304	-0.48711985194248536	-0.24160734977637222	-0.035561660064418875	
NP_064632.2	-9.275255556111544	1.1122181369006514	5.837991628137243	1.2497217197951405	-3.8266274770367548	3.2603357778561186	2.7731084492234714	-0.14677137650803046	0.7421156440923907	0.08412494865286223	-1.544988325103691	0.792736728389778	-1.373749949729538	-0.6638222257027703	0.585144624886601	0.9322603590728616	-0.9692689891720212	-0.10820274762865961	-0.10337964575098284	-0.02085496959651341	
NP_079152.3	-13.582231049777112	-1.130929975153389	-3.6119162144704986	-5.079498967623196	1.308606293974266	-2.3126863907942705	1.80972309212451	-1.420140452641346	-1.8962362988178665	-0.4568888561254203	1.474216917459415	-0.24701172004624272	0.043169467848860436	-0.36546272037612815	-0.964735192208343	-0.5656282445246534	-0.365663577496621	-0.07709390973022226	-0.33602089439605487	0.8638781340955752	
NP_005154.2	-22.9045806875639	-3.9050147429753945	-1.1120308287241076	0.5207643688328816	-0.8617802055067548	1.7330136385879578	0.6254956125680081	-0.9016097644666582	-0.3094563960342587	2.050848768095611	-0.27141617076650354	0.7286138490511456	0.5764256741225873	1.5060168246001655	0.4106803005010339	1.4501258142690854	-0.3670578155810143	-0.3989053913580053	0.03549446952864227	0.012111153919057429	
NP_001617.1	-30.337769005251122	4.656598922360793	3.578997198477174	2.508963943029125	-2.074466464224741	3.0199988142331384	0.19963202122604368	-0.4105572828619311	0.6964497946716842	-0.09625896065387773	0.13293721042001463	-2.1053748624935484	-0.14442002610448107	0.9783821255059673	-0.3970612072526442	-0.5583372130589699	-0.3353821597720395	0.3220790815900586	-0.12686240995254006	-0.0797151356325894	
NP_005456.1	-22.104451149509856	-1.6846332584256662	0.9727763644065748	0.24763621903104596	-1.533478585989531	4.168740997723684	-0.8283594560093493	0.04027943456698676	0.18615258195295897	-1.1454068875740775	-0.4708284921056815	0.5274966683678316	0.5997486600586337	0.48203437181026804	1.1482585523056843	-1.2400856835003211	0.5515746801189464	0.14146071198746854	0.05042873547588019	-0.13451312417462416	
NP_004295.2	72.87185538960485	4.323671201276642	-2.389963219064065	-2.7292023908274667	2.8110898068853496	-1.7897151146150803	4.7692977255326605	-1.2444593684869345	-1.5491009210711622	-2.226044251256713	0.2271670460611208	-1.6383212643759795	2.0116290468749205	3.1093553054275964	1.331647047188258	-1.9312624099022389	-0.2950716498641425	-1.6291901260634178	2.46655538977085	0.6892662825419729	
